Locality,Strike/trend,Dip/plunge,GPS shorthand,,Inverted?,X GPS,Y GPS,Full GPS,Rock type/contact,Notes
aa,144,89,34,7,u,283337,4757067,283337 4757067,San Emiliano bedding,
,128,64,34,7,u,283338,4757067,283338 4757067,San Emiliano bedding,
ab,320,80,38,9,u,283384,4757092,283384 4757092,San Emiliano bedding,
ad,85,70,25,87,u,284245,4756869,284245 4756869,Lancara bedding,grey limestone
ad,90,76,25,85,u,284248,4756845,284248 4756845,Lancara bedding,red nodular griotte
ae,277,56,90,56,i,283898,4756559,283898 4756559,Barrios bedding,
af,294,62,82,58,i,283819,4756576,283819 4756576,Barrios bedding,
ah,262,74,54,94,i,283540,4756944,283540 4756944,Lancara bedding,
ai,290,68,53,98,i,283529,4756980,283529 4756980,Lancara bedding,
aj,290,70,67,96,i,283668,4756956,283668 4756956,Lancara bedding,
ba,274,66,29,82,i,283290,4756820,283290 4756820,Barrios bedding,
bb,276,60,28,56,i,283282,4756560,283282 4756560,Formigoso bedding,
bc,287,57,30,47,i,283299,4756466,283299 4756466,San Pedro bedding,
bc,113,50,30,47,u,283300,4756466,283300 4756466,San Pedro bedding,
bc,267,53,30,47,i,283301,4756466,283301 4756466,San Pedro bedding,
bc,282,64,38,33,i,283377,4756330,283377 4756330,San Pedro bedding,
bd,300,72,36,27,u,283360,4756271,283360 4756271,Lancara bedding,
bf,310,64,72,75,i,283722,4755750,283722 4755750,Oville bedding,
ca,304,75,81,41,i,283810,4755408,283810 4755408,Barrios bedding,
cb,310,70,82,29,i,283815,4755286,283815 4755286,Barrios bedding,
ce,306,65,51,17,i,283512,4755172,283512 4755172,Formigoso bedding,"Less reliable, beds may have slumped"
ce,288,74,46,9,i,283461,4755089,283461 4755089,San Pedro bedding,
cg,220,90,82,31,v,283819,4754314,283819 4754314,La Vid bedding,
cg,234,72,82,31,u,283820,4754314,283820 4754314,La Vid bedding,
cg,265,56,82,31,u,283821,4754314,283821 4754314,La Vid bedding,
cg,209,80,82,31,u,283822,4754314,283822 4754314,La Vid bedding,
ch,320,58,95,43,i,283947,4754433,283947 4754433,La Vid bedding,
ch,304,38,95,43,i,283948,4754433,283948 4754433,La Vid bedding,
da,280,59,1,34,,284007,4753335,284007 4753335,Barrios bedding,
da,272,59,1,34,,284008,4753335,284008 4753335,Barrios bedding,
db,272,56,96,49,,283964,4753490,283964 4753490,Barrios bedding,
dc,273,52,89,21,,283890,4753210,283890 4753210,Formigoso bedding,
dd,274,58,96,7,,283961,4753070,283961 4753070,Formigoso bedding,
de,266,56,98,92,,283982,4752923,283982 4752923,San Pedro bedding,
dg,280,70,6,80,,284060,4752801,284060 4752801,La Vid bedding,
dh,326,50,11,72,,284113,4752715,284113 4752715,La Vid bedding,May be slumped beds
dh,327,50,11,72,,284114,4752715,284114 4752715,La Vid bedding,May be slumped beds
dh,330,50,12,72,,284115,4752715,284115 4752715,La Vid bedding,May be slumped beds
di,268,80,13,66,,284129,4752657,284129 4752657,La Vid bedding,
dj,284,50,85,58,,283852,4753581,283852 4753581,Barrios bedding,
dk,286,56,69,72,,283690,4753722,283690 4753722,Oville bedding,
dl,208,42,65,85,,283650,4753850,283650 4753850,San Pedro bedding,
dl,265,48,65,85,,283650,4753850,283650 4753850,San Pedro bedding,
dm,248,50,58,1,,283580,4754005,283580 4754005,La Vid bedding,
ea,353,46,61,13,,283613,4756125,283613 4756125,San Pedro bedding,
ea,342,54,61,13,,283614,4756125,283614 4756125,San Pedro bedding,
ea,337,46,62,13,,283615,4756125,283615 4756125,San Pedro bedding,
eb,287,45,59,5,,283592,4756053,283592 4756053,Lancara bedding,
,274,70,71,40,,283706,4756400,283706 4756400,San Pedro bedding,
,,,76,9,,283756,4756089,283756 4756089,Limestone(?) bedding,
ec,281,80,80,97,,283795,4755965,283795 4755965,Limestone(?) bedding,
