Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,TYPE OF MATERIAL,METHOD,COMMENT,INSTITUTION,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FE2O3T(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),LOI(WT%),LI(PPM),BE(PPM),B(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),AS(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),AG(PPM),CD(PPM),SN(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,SR87_SR86,PB206_PB204,PB207_PB204,PB208_PB204,AGE(KA)
2003, [7890] BOURDON E. (2003),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,MAGNESIAN,,,QUATERNARY,WHOLE ROCK,MS,,LABORATOIRE DE GEOCHIMIE ISOTOPIQUE DE L^MUR 6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.001,15.591,38.723,
2003, [7890] BOURDON E. (2003),samp. PICH9C,35229-PICH 9C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ADAKITE,,,,QUATERNARY,WHOLE ROCK,MS,,LABORATOIRE DE GEOCHIMIE ISOTOPIQUE DE L^MUR 6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.984,15.577,38.67,
2003, [7890] BOURDON E. (2003),samp. PICH10,35229-PICH 10,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ADAKITE,,,,QUATERNARY,WHOLE ROCK,MS,,LABORATOIRE DE GEOCHIMIE ISOTOPIQUE DE L^MUR 6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15.584,38.708,
2002, [7935] BOURDON E. (2002),samp. PICH32K,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,57,0.52,15.6,8.02,,7.3,6.02,0.13,1.22,3.17,0.09,,,,,23,,195,265,,28,82,,,,,,45,415,12.5,77,2.4,,,,,,,565,9.8,18,,9.7,2.2,0.7,2.3,,2.1,,1.25,,1.23,,,,,,,,2.8,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH32K,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,57.7,0.56,16,7.45,,6.6,5.1,0.11,1.3,3.61,0.15,,,,,18,,177,165,,33,81,,,,,,29,505,10.8,81,3,,,,,,,550,12.1,25,,13,2.6,0.77,2.4,,2,,1.1,,0.99,,,,,,,,2.65,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH4C,35229-PICH 4C,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,HIGH-MG,,,QUATERNARY,WHOLE ROCK,MS,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51288,0.704043,19.006,15.589,38.721,
2002, [7935] BOURDON E. (2002),samp. PICH8E,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,ICPAES,,UNIVERSITE DE BRETAGNE OCCIDENTALE,61.4,0.51,16.5,6.12,,5.57,3.06,0.09,1.75,4,0.15,,,,,12,,140,71,,19,38,,,,,,41.5,513,7.8,73,3,,,,,,,680,15,27,,13.5,2.7,0.81,2.6,,1.65,,0.8,,0.78,,,,,,,,4.1,,,,,,,
2002, [7935] BOURDON E. (2002),samp. PICH8E,,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,,-0.1708,-78.5983,-0.1708,-78.5983,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,,,QUATERNARY,WHOLE ROCK,IGN,,UNIVERSITE DE BRETAGNE OCCIDENTALE,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
